student_id,tipo_factorizacion,dificultad,tiempo_respuesta,intentos,tipo_error
182,trinomio_general,1,74.82,2,procedimiento
183,trinomio_general,2,57.18,4,procedimiento
184,trinomio_cuadrado_perfecto,5,123.17,1,identificacion
185,trinomio_general,4,59.87,3,procedimiento
186,trinomio_cuadrado_perfecto,3,59.29,1,procedimiento
187,diferencia_cuadrados,3,54.46,1,signo
188,factor_comun,4,73.66,1,procedimiento
189,trinomio_general,3,62.03,3,procedimiento
190,factor_comun,4,61.92,3,procedimiento
191,trinomio_cuadrado_perfecto,3,51.57,1,identificacion
192,trinomio_cuadrado_perfecto,5,66.81,1,signo
193,diferencia_cuadrados,2,41.93,1,signo
194,trinomio_general,5,54.24,3,identificacion
195,trinomio_general,4,69.37,3,procedimiento
196,factor_comun,4,84.61,2,procedimiento
197,trinomio_cuadrado_perfecto,5,86.64,3,identificacion
198,trinomio_cuadrado_perfecto,4,83.43,3,procedimiento
199,trinomio_cuadrado_perfecto,3,79.92,1,identificacion
200,trinomio_cuadrado_perfecto,3,43.01,3,identificacion
201,diferencia_cuadrados,2,86.48,3,procedimiento
202,factor_comun,2,29.02,1,procedimiento
203,trinomio_general,3,61.14,3,procedimiento
204,trinomio_cuadrado_perfecto,1,67.95,1,procedimiento
205,trinomio_cuadrado_perfecto,2,61.42,2,procedimiento
206,trinomio_cuadrado_perfecto,1,39.33,2,identificacion
207,factor_comun,3,76.6,1,signo
208,trinomio_cuadrado_perfecto,2,34.05,1,identificacion
209,trinomio_general,1,103.88,2,signo
210,trinomio_general,4,130.75,2,identificacion
211,diferencia_cuadrados,3,84.68,1,procedimiento
212,trinomio_general,1,58.04,2,procedimiento
213,diferencia_cuadrados,5,110.84,1,identificacion
214,diferencia_cuadrados,2,49.13,1,signo
215,trinomio_cuadrado_perfecto,1,78.58,1,identificacion
216,diferencia_cuadrados,5,149.61,3,identificacion
217,factor_comun,5,59.59,3,procedimiento
218,trinomio_general,3,117.88,3,procedimiento
219,trinomio_cuadrado_perfecto,5,37.43,3,identificacion
220,diferencia_cuadrados,2,21.31,4,signo
221,trinomio_cuadrado_perfecto,1,20.69,1,identificacion
222,factor_comun,5,63.89,4,identificacion
223,diferencia_cuadrados,4,54.04,2,identificacion
224,trinomio_general,3,80.84,3,procedimiento
225,trinomio_cuadrado_perfecto,4,106.88,2,identificacion
226,factor_comun,3,48.96,1,procedimiento
227,factor_comun,4,78.77,1,procedimiento
228,factor_comun,2,25.21,2,procedimiento
229,factor_comun,1,37.32,1,identificacion
230,trinomio_cuadrado_perfecto,5,40.77,1,identificacion
231,trinomio_cuadrado_perfecto,4,45.68,1,signo
232,trinomio_cuadrado_perfecto,4,69.95,2,procedimiento
233,trinomio_general,4,42.09,2,identificacion
234,trinomio_cuadrado_perfecto,5,113.96,3,procedimiento
235,diferencia_cuadrados,2,42.68,1,identificacion
236,diferencia_cuadrados,3,58.7,2,signo
237,factor_comun,4,40.7,3,identificacion
238,trinomio_general,3,29.08,2,procedimiento
239,trinomio_general,1,94.37,1,procedimiento
240,trinomio_cuadrado_perfecto,1,22.48,1,signo
241,trinomio_cuadrado_perfecto,4,84.27,3,procedimiento
242,trinomio_cuadrado_perfecto,4,19.82,1,procedimiento
243,diferencia_cuadrados,4,106.54,2,procedimiento
244,trinomio_cuadrado_perfecto,3,23.83,2,procedimiento
245,trinomio_general,5,198.4,3,procedimiento
246,trinomio_general,4,142.53,2,identificacion
247,trinomio_general,4,57.31,1,signo
248,factor_comun,3,27.85,1,procedimiento
249,trinomio_general,1,100.3,2,procedimiento
250,factor_comun,2,62.86,4,procedimiento
251,diferencia_cuadrados,5,42.85,3,identificacion
252,factor_comun,1,94.26,1,identificacion
253,diferencia_cuadrados,2,103.49,2,procedimiento
254,trinomio_cuadrado_perfecto,5,63.82,1,signo
255,trinomio_general,4,122.03,4,identificacion
256,factor_comun,4,103.21,2,procedimiento
257,trinomio_general,2,108.24,3,procedimiento
258,factor_comun,1,68.0,1,identificacion
259,trinomio_general,3,85.81,3,procedimiento
260,diferencia_cuadrados,3,80.9,3,identificacion
261,trinomio_general,2,74.86,2,procedimiento
262,trinomio_cuadrado_perfecto,5,101.63,1,identificacion
263,trinomio_general,4,60.58,2,procedimiento
264,factor_comun,5,93.18,3,procedimiento
265,trinomio_general,1,71.28,1,procedimiento
266,trinomio_general,4,98.91,2,procedimiento
267,factor_comun,4,33.05,1,identificacion
268,factor_comun,5,87.56,1,procedimiento
269,trinomio_cuadrado_perfecto,1,43.34,1,identificacion
270,trinomio_general,1,56.34,1,procedimiento
271,factor_comun,4,46.64,1,procedimiento
272,factor_comun,1,66.5,2,procedimiento
273,trinomio_cuadrado_perfecto,3,37.73,3,signo
274,trinomio_general,1,27.8,1,signo
275,trinomio_general,3,141.05,2,procedimiento
276,trinomio_general,5,62.72,2,identificacion
277,trinomio_cuadrado_perfecto,2,62.28,2,procedimiento
278,trinomio_general,1,51.78,4,procedimiento
279,diferencia_cuadrados,4,33.24,1,identificacion
280,trinomio_cuadrado_perfecto,1,48.22,1,signo
281,trinomio_cuadrado_perfecto,3,63.36,3,procedimiento
282,factor_comun,2,53.15,1,procedimiento
283,factor_comun,2,36.57,2,procedimiento
284,trinomio_general,5,98.04,3,identificacion
285,factor_comun,2,70.71,2,procedimiento
286,trinomio_cuadrado_perfecto,4,133.22,2,procedimiento
287,diferencia_cuadrados,4,81.54,2,procedimiento
288,factor_comun,1,41.92,2,identificacion
289,trinomio_cuadrado_perfecto,5,85.63,1,identificacion
290,trinomio_general,3,88.54,3,identificacion
291,trinomio_general,4,92.5,3,procedimiento
292,trinomio_cuadrado_perfecto,5,140.11,3,identificacion
293,trinomio_cuadrado_perfecto,1,85.6,1,procedimiento
294,trinomio_general,3,83.75,3,procedimiento
295,diferencia_cuadrados,5,138.95,4,identificacion
296,trinomio_cuadrado_perfecto,2,58.11,3,identificacion
297,trinomio_cuadrado_perfecto,2,54.76,1,procedimiento
298,trinomio_cuadrado_perfecto,2,29.59,1,signo
299,diferencia_cuadrados,3,16.97,1,signo
300,diferencia_cuadrados,5,85.32,1,procedimiento
301,factor_comun,1,27.24,1,procedimiento
302,trinomio_cuadrado_perfecto,4,53.96,1,signo
303,factor_comun,5,66.17,1,procedimiento
304,trinomio_cuadrado_perfecto,5,65.67,3,procedimiento
305,trinomio_cuadrado_perfecto,2,80.23,1,identificacion
306,trinomio_general,3,58.59,1,signo
307,diferencia_cuadrados,4,99.39,4,identificacion
308,factor_comun,2,13.8,1,procedimiento
309,trinomio_general,5,199.68,1,identificacion
310,diferencia_cuadrados,3,42.68,4,signo
311,trinomio_general,3,56.2,2,signo
312,trinomio_general,3,40.0,3,procedimiento
313,diferencia_cuadrados,5,35.13,1,signo
314,trinomio_cuadrado_perfecto,5,64.09,1,identificacion
315,diferencia_cuadrados,4,52.02,2,signo
316,trinomio_cuadrado_perfecto,4,71.41,2,identificacion
317,diferencia_cuadrados,1,25.06,1,signo
318,trinomio_general,1,11.37,2,procedimiento
319,factor_comun,4,48.0,2,procedimiento
320,trinomio_general,5,135.89,2,procedimiento
321,trinomio_general,1,63.73,1,procedimiento
322,trinomio_cuadrado_perfecto,1,83.97,3,identificacion
323,factor_comun,4,77.66,1,identificacion
324,factor_comun,3,31.02,1,identificacion
325,trinomio_cuadrado_perfecto,5,48.21,1,identificacion
326,trinomio_cuadrado_perfecto,1,39.34,1,signo
327,factor_comun,1,32.18,1,procedimiento
328,trinomio_general,1,93.68,3,procedimiento
329,diferencia_cuadrados,1,39.99,4,identificacion
330,factor_comun,2,59.6,2,identificacion
331,factor_comun,1,34.36,2,procedimiento
332,factor_comun,5,31.86,1,procedimiento
333,factor_comun,3,61.71,3,procedimiento
334,diferencia_cuadrados,3,43.52,1,identificacion
335,factor_comun,2,61.25,1,procedimiento
336,factor_comun,1,25.72,2,procedimiento
337,diferencia_cuadrados,2,106.24,3,signo
338,trinomio_cuadrado_perfecto,1,64.05,1,identificacion
339,diferencia_cuadrados,2,60.42,2,signo
340,diferencia_cuadrados,1,37.61,3,signo
341,trinomio_cuadrado_perfecto,5,93.94,1,identificacion
342,trinomio_general,5,82.79,2,identificacion
343,trinomio_cuadrado_perfecto,4,27.67,1,identificacion
344,diferencia_cuadrados,1,45.27,2,signo
345,trinomio_general,4,120.39,1,procedimiento
346,trinomio_general,1,60.53,2,signo
347,factor_comun,1,75.06,2,procedimiento
348,trinomio_cuadrado_perfecto,4,51.2,1,signo
349,trinomio_cuadrado_perfecto,4,128.58,3,procedimiento
350,trinomio_general,1,35.27,1,procedimiento
351,factor_comun,4,90.6,3,procedimiento
352,factor_comun,4,33.45,1,procedimiento
353,trinomio_general,4,162.81,2,procedimiento
354,trinomio_general,3,55.12,1,signo
355,factor_comun,4,76.62,2,procedimiento
356,diferencia_cuadrados,1,17.37,2,identificacion
357,trinomio_cuadrado_perfecto,2,84.75,2,identificacion
358,trinomio_cuadrado_perfecto,1,81.78,2,procedimiento
359,trinomio_general,1,59.93,1,procedimiento
360,trinomio_cuadrado_perfecto,1,44.65,1,identificacion
361,factor_comun,2,17.16,2,procedimiento
362,factor_comun,1,36.48,1,signo
363,trinomio_cuadrado_perfecto,1,26.91,1,identificacion
364,factor_comun,4,40.12,3,identificacion
365,diferencia_cuadrados,5,81.64,4,signo
366,trinomio_cuadrado_perfecto,1,45.09,1,procedimiento
367,trinomio_cuadrado_perfecto,3,41.23,1,identificacion
368,factor_comun,2,80.35,2,identificacion
369,trinomio_general,1,35.92,3,procedimiento
370,diferencia_cuadrados,1,33.95,1,procedimiento
371,factor_comun,4,41.28,1,procedimiento
372,trinomio_cuadrado_perfecto,2,49.65,3,identificacion
373,trinomio_cuadrado_perfecto,5,92.26,1,identificacion
374,diferencia_cuadrados,2,89.27,1,procedimiento
375,diferencia_cuadrados,1,28.95,1,procedimiento
376,trinomio_general,4,102.59,2,procedimiento
377,factor_comun,5,123.43,2,procedimiento
378,trinomio_general,1,33.28,1,procedimiento
379,trinomio_general,5,123.55,1,identificacion
380,diferencia_cuadrados,1,18.4,1,signo
381,factor_comun,2,61.79,1,procedimiento
382,trinomio_cuadrado_perfecto,3,48.88,2,signo
383,trinomio_general,4,60.53,3,procedimiento
384,factor_comun,5,62.42,1,procedimiento
385,trinomio_cuadrado_perfecto,1,78.9,2,procedimiento
386,diferencia_cuadrados,4,76.28,3,signo
387,trinomio_cuadrado_perfecto,5,76.47,1,identificacion
388,trinomio_general,4,12.49,1,procedimiento
389,trinomio_cuadrado_perfecto,2,90.96,3,identificacion
390,trinomio_general,3,95.6,3,procedimiento
391,factor_comun,4,33.42,3,procedimiento
392,diferencia_cuadrados,4,30.13,1,signo
393,trinomio_cuadrado_perfecto,2,48.45,3,identificacion
394,factor_comun,1,51.9,1,identificacion
395,diferencia_cuadrados,5,127.47,4,procedimiento
396,trinomio_cuadrado_perfecto,3,76.53,1,procedimiento
397,factor_comun,2,31.5,1,procedimiento
398,trinomio_cuadrado_perfecto,2,13.97,3,identificacion
399,factor_comun,1,39.61,3,procedimiento
400,trinomio_general,4,69.18,1,procedimiento
401,trinomio_general,5,109.59,1,procedimiento
402,trinomio_cuadrado_perfecto,3,109.9,1,identificacion
403,diferencia_cuadrados,4,42.44,2,signo
404,trinomio_cuadrado_perfecto,3,124.44,3,identificacion
405,trinomio_cuadrado_perfecto,5,128.36,1,identificacion
406,trinomio_general,4,60.09,2,procedimiento
407,trinomio_cuadrado_perfecto,1,54.64,3,procedimiento
408,diferencia_cuadrados,5,9.98,1,signo
409,trinomio_general,4,104.2,1,procedimiento
410,diferencia_cuadrados,4,98.37,1,identificacion
411,factor_comun,3,60.38,3,procedimiento
412,factor_comun,1,49.56,2,signo
413,trinomio_cuadrado_perfecto,1,53.23,1,identificacion
414,factor_comun,1,37.27,2,identificacion
415,trinomio_general,4,116.55,1,identificacion
416,trinomio_cuadrado_perfecto,3,79.33,3,procedimiento
417,trinomio_general,4,88.66,1,identificacion
418,diferencia_cuadrados,3,45.89,2,procedimiento
419,diferencia_cuadrados,5,54.48,1,signo
420,trinomio_cuadrado_perfecto,3,66.35,2,identificacion
421,factor_comun,3,32.02,1,signo
422,factor_comun,3,10.6,1,procedimiento
423,trinomio_general,2,75.86,2,procedimiento
424,trinomio_cuadrado_perfecto,5,67.73,2,procedimiento
425,trinomio_cuadrado_perfecto,2,62.83,1,procedimiento
426,diferencia_cuadrados,4,64.63,1,identificacion
427,diferencia_cuadrados,3,150.79,1,signo
428,factor_comun,3,67.08,2,procedimiento
429,trinomio_general,2,101.98,1,procedimiento
430,diferencia_cuadrados,3,80.45,3,procedimiento
431,diferencia_cuadrados,5,14.01,1,signo
432,diferencia_cuadrados,3,80.64,1,signo
433,factor_comun,5,38.52,1,procedimiento
434,factor_comun,2,35.81,1,procedimiento
435,factor_comun,4,31.54,1,identificacion
436,factor_comun,4,57.56,1,procedimiento
437,trinomio_general,2,117.86,2,identificacion
438,trinomio_general,2,68.13,1,procedimiento
439,trinomio_general,4,92.96,1,procedimiento
440,trinomio_general,2,113.42,3,procedimiento
441,factor_comun,3,77.96,2,procedimiento
442,trinomio_general,3,71.07,2,procedimiento
443,diferencia_cuadrados,3,12.15,1,signo
444,factor_comun,3,45.64,4,procedimiento
445,factor_comun,4,60.62,2,procedimiento
446,factor_comun,4,64.94,2,procedimiento
447,diferencia_cuadrados,4,82.01,2,identificacion
448,trinomio_cuadrado_perfecto,2,97.42,3,identificacion
449,diferencia_cuadrados,3,59.09,1,procedimiento
450,trinomio_cuadrado_perfecto,1,24.33,4,identificacion
451,trinomio_cuadrado_perfecto,2,20.74,1,signo
452,trinomio_cuadrado_perfecto,4,57.31,1,identificacion
453,factor_comun,4,37.48,2,procedimiento
454,diferencia_cuadrados,1,61.46,3,signo
455,factor_comun,5,94.65,2,procedimiento
456,trinomio_general,1,36.81,1,procedimiento
457,diferencia_cuadrados,1,35.12,1,identificacion
458,trinomio_general,1,118.35,2,identificacion
459,diferencia_cuadrados,5,81.61,1,procedimiento
460,factor_comun,3,73.66,3,procedimiento
461,trinomio_cuadrado_perfecto,2,62.91,2,identificacion
462,factor_comun,1,47.2,3,procedimiento
463,trinomio_cuadrado_perfecto,1,77.18,1,identificacion
464,diferencia_cuadrados,4,79.34,1,signo
465,diferencia_cuadrados,4,37.02,1,identificacion
466,trinomio_cuadrado_perfecto,1,39.24,1,identificacion
467,diferencia_cuadrados,3,88.87,2,signo
468,diferencia_cuadrados,5,8.0,2,identificacion
469,trinomio_cuadrado_perfecto,2,60.23,3,procedimiento
470,trinomio_cuadrado_perfecto,2,44.91,1,signo
471,trinomio_general,4,70.04,1,identificacion
472,diferencia_cuadrados,4,48.5,1,signo
473,diferencia_cuadrados,2,41.61,1,signo
474,trinomio_cuadrado_perfecto,3,83.11,3,procedimiento
475,trinomio_general,3,70.85,4,procedimiento
476,factor_comun,3,86.57,2,procedimiento
477,diferencia_cuadrados,3,79.94,4,procedimiento
478,trinomio_cuadrado_perfecto,4,33.06,1,identificacion
479,trinomio_general,4,73.61,4,procedimiento
480,factor_comun,4,27.57,1,identificacion
481,trinomio_cuadrado_perfecto,5,101.96,3,procedimiento
482,diferencia_cuadrados,4,95.64,3,identificacion
483,factor_comun,5,32.99,1,procedimiento
484,diferencia_cuadrados,1,54.28,1,identificacion
485,trinomio_cuadrado_perfecto,3,85.6,2,identificacion
486,trinomio_general,2,51.73,3,identificacion
487,diferencia_cuadrados,3,46.58,1,signo
488,trinomio_general,3,70.74,1,procedimiento
489,diferencia_cuadrados,1,32.86,2,identificacion
490,trinomio_general,3,67.75,1,signo
491,factor_comun,1,72.58,2,procedimiento
492,trinomio_general,1,109.95,4,procedimiento
493,factor_comun,3,83.21,3,procedimiento
494,diferencia_cuadrados,5,56.91,1,signo
495,trinomio_general,3,76.6,1,procedimiento
496,factor_comun,5,47.37,1,identificacion
497,trinomio_cuadrado_perfecto,3,79.78,2,procedimiento
498,diferencia_cuadrados,1,48.04,2,signo
499,trinomio_general,5,56.89,3,identificacion
500,trinomio_cuadrado_perfecto,3,68.14,1,identificacion
501,factor_comun,5,81.44,1,procedimiento
502,trinomio_general,2,57.47,3,identificacion
503,trinomio_general,2,103.53,2,procedimiento
504,diferencia_cuadrados,3,75.66,1,signo
505,diferencia_cuadrados,5,40.99,3,signo
506,trinomio_cuadrado_perfecto,2,37.5,1,identificacion
507,factor_comun,3,50.09,4,identificacion
508,diferencia_cuadrados,2,53.71,4,procedimiento
509,factor_comun,4,128.9,1,procedimiento
510,trinomio_cuadrado_perfecto,4,46.14,2,identificacion
511,factor_comun,5,71.26,1,procedimiento
512,diferencia_cuadrados,3,106.42,3,signo
513,trinomio_general,5,83.58,2,identificacion
514,diferencia_cuadrados,2,94.16,4,signo
515,diferencia_cuadrados,4,25.76,2,procedimiento
516,trinomio_cuadrado_perfecto,2,18.37,2,signo
517,factor_comun,2,59.98,1,identificacion
518,diferencia_cuadrados,1,25.37,1,signo
519,trinomio_cuadrado_perfecto,2,86.4,1,procedimiento
520,factor_comun,3,75.48,2,procedimiento
521,trinomio_cuadrado_perfecto,1,88.41,4,procedimiento
522,trinomio_cuadrado_perfecto,2,58.23,1,identificacion
523,diferencia_cuadrados,5,49.24,3,signo
524,factor_comun,2,19.05,3,procedimiento
525,trinomio_cuadrado_perfecto,5,144.71,3,signo
526,diferencia_cuadrados,1,77.45,1,identificacion
527,trinomio_cuadrado_perfecto,2,88.06,1,identificacion
528,trinomio_general,5,60.35,1,identificacion
529,trinomio_cuadrado_perfecto,3,103.09,3,procedimiento
530,trinomio_general,3,40.86,2,procedimiento
531,factor_comun,4,103.6,3,procedimiento
532,trinomio_general,2,88.8,2,signo
533,trinomio_cuadrado_perfecto,3,44.98,2,identificacion
534,factor_comun,3,19.72,2,procedimiento
535,diferencia_cuadrados,3,151.84,2,procedimiento
536,diferencia_cuadrados,3,55.59,1,procedimiento
537,factor_comun,1,51.6,1,procedimiento
538,trinomio_general,5,78.58,4,procedimiento
539,factor_comun,3,66.26,3,procedimiento
540,trinomio_cuadrado_perfecto,2,58.26,2,identificacion
541,trinomio_general,5,74.49,3,procedimiento
542,trinomio_general,1,94.17,4,identificacion
543,trinomio_general,2,17.81,1,procedimiento
544,diferencia_cuadrados,3,54.03,3,procedimiento
545,trinomio_general,3,82.24,2,procedimiento
546,trinomio_general,2,41.5,1,signo
547,trinomio_general,3,41.29,3,procedimiento
548,factor_comun,3,67.07,2,procedimiento
549,diferencia_cuadrados,4,88.22,4,procedimiento
550,trinomio_cuadrado_perfecto,5,44.9,1,identificacion
551,diferencia_cuadrados,2,52.03,2,procedimiento
552,trinomio_general,3,70.4,4,identificacion
